"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value"
"C44",33.0189655172414,25,"B",6,700,19526,580,27.89,"ANF","0",375,19151,33.0189655172414,"EXP 1","GSH1",100,100
"C44",33.0189655172414,26,"C",6,623,6712,464,10.77,"ANF","0.15",215,6497,14.0021551724138,"EXP 1","GSH1",42.4064017544776,46.7826372222298
"C44",33.0189655172414,27,"D",6,700,10198,539,14.57,"ANF","0.62",147,10051,18.6474953617811,"EXP 1","GSH1",56.4751047456166,37.7542604774314
"C44",33.0189655172414,28,"E",6,538,5013,408,9.318,"ANF","1.2",161,4852,11.8921568627451,"EXP 1","GSH1",36.016140046954,31.4670731799085
"C44",33.0189655172414,29,"F",6,492,3218,400,6.541,"ANF","3",98,3120,7.8,"EXP 1","GSH1",23.6227873218109,22.617171603547
"C44",33.0189655172414,30,"G",6,526,2072,370,3.939,"ANF","5",104,1968,5.31891891891892,"EXP 1","GSH1",16.1086782568689,18.2929720430927
"C58",19.3442211055276,31,"G",7,678,2559,494,3.774,"ANF","5",104,2455,4.96963562753036,"EXP 1","GSH1",25.6905439635938,19.3827031980793
"C58",19.3442211055276,32,"F",7,623,2881,448,4.624,"ANF","3",98,2783,6.21205357142857,"EXP 1","GSH1",32.1132266713674,18.4258754262708
"C58",19.3442211055276,33,"E",7,803,8813,645,10.98,"ANF","1.2",161,8652,13.4139534883721,"EXP 1","GSH1",69.3434665329537,40.6483424908826
"C58",19.3442211055276,34,"D",7,730,10352,600,14.18,"ANF","0.62",147,10205,17.0083333333333,"EXP 1","GSH1",87.9246222453133,52.3134488880922
"C58",19.3442211055276,35,"C",7,862,14641,659,16.98,"ANF","0.15",215,14426,21.8907435508346,"EXP 1","GSH1",113.164254230838,57.6446433772213
"C58",19.3442211055276,36,"B",7,536,8074,398,15.06,"ANF","0",375,7699,19.3442211055276,"EXP 1","GSH1",100,100
"C6",28.6464285714286,13,"B",4,664,16417,560,24.72,"ANF","0",375,16042,28.6464285714286,"EXP 1","GSH1",100,100
"C6",28.6464285714286,14,"C",4,598,10249,464,17.14,"ANF","0.15",215,10034,21.625,"EXP 1","GSH1",75.4893404812367,61.9366081402846
"C6",28.6464285714286,15,"D",4,571,11771,430,20.61,"ANF","0.62",147,11624,27.0325581395349,"EXP 1","GSH1",94.3662421028521,53.121534485656
"C6",28.6464285714286,16,"E",4,504,12424,388,24.65,"ANF","1.2",161,12263,31.6056701030928,"EXP 1","GSH1",110.330228510983,55.031636736215
"C6",28.6464285714286,17,"F",4,237,1290,183,5.443,"ANF","3",98,1192,6.51366120218579,"EXP 1","GSH1",22.7381266252589,18.9861221713585
"C6",28.6464285714286,18,"G",4,663,4884,556,7.367,"ANF","5",104,4780,8.59712230215827,"EXP 1","GSH1",30.011148791975,18.717818300128
"C67",31.1428571428571,37,"B",8,765,16725,525,21.86,"ANF","0",375,16350,31.1428571428571,"EXP 1","GSH1",100,100
"C67",31.1428571428571,38,"C",8,739,12466,568,16.87,"ANF","0.15",215,12251,21.568661971831,"EXP 1","GSH1",69.2571714691822,42.4281218649696
"C67",31.1428571428571,39,"D",8,693,12485,599,18.02,"ANF","0.62",147,12338,20.5976627712855,"EXP 1","GSH1",66.1392841279811,47.7370549418711
"C67",31.1428571428571,40,"E",8,743,11876,599,15.98,"ANF","1.2",161,11715,19.5575959933222,"EXP 1","GSH1",62.7996201620439,35.1595940309789
"C67",31.1428571428571,41,"F",8,877,7375,730,8.409,"ANF","3",98,7277,9.96849315068493,"EXP 1","GSH1",32.008922960915,19.3381774625679
"C67",31.1428571428571,42,"G",8,1003,10006,879,9.976,"ANF","5",104,9902,11.2650739476678,"EXP 1","GSH1",36.1722557952636,13.6059890931818
"C7",30.7439516129032,19,"G",5,695,5908,602,8.501,"ANF","5",104,5804,9.64119601328904,"EXP 1","GSH1",31.3596512728137,24.4612181684381
"C7",30.7439516129032,20,"F",5,740,12233,682,16.53,"ANF","3",98,12135,17.7932551319648,"EXP 1","GSH1",57.875628208109,26.8391362447684
"C7",30.7439516129032,21,"E",5,553,13131,477,23.75,"ANF","1.2",161,12970,27.1907756813417,"EXP 1","GSH1",88.4426830477113,46.7230500706117
"C7",30.7439516129032,22,"D",5,654,12936,546,19.78,"ANF","0.62",147,12789,23.4230769230769,"EXP 1","GSH1",76.1875936379182,52.3632346804048
"C7",30.7439516129032,23,"C",5,643,14107,560,21.94,"ANF","0.15",215,13892,24.8071428571429,"EXP 1","GSH1",80.6895065718597,54.1075704791361
"C7",30.7439516129032,24,"B",5,593,15624,496,26.35,"ANF","0",375,15249,30.7439516129032,"EXP 1","GSH1",100,100
"C73",12.3239875389408,43,"G",9,733,601,287,0.8199,"ANF","5",104,497,1.73170731707317,"EXP 1","GSH1",14.0515179165947,14.2110140858167
"C73",12.3239875389408,44,"F",9,820,1127,389,1.374,"ANF","3",98,1029,2.6452442159383,"EXP 1","GSH1",21.4641909331697,15.1434602200462
"C73",12.3239875389408,45,"E",9,673,2071,398,3.077,"ANF","1.2",161,1910,4.79899497487437,"EXP 1","GSH1",38.940277728379,22.0958906234408
"C73",12.3239875389408,46,"D",9,663,2020,362,3.047,"ANF","0.62",147,1873,5.17403314917127,"EXP 1","GSH1",41.9834337938316,28.0661110857118
"C73",12.3239875389408,47,"C",9,559,3746,387,6.701,"ANF","0.15",215,3531,9.12403100775194,"EXP 1","GSH1",74.0347308768548,47.4634826229472
